id,file,project_or_source,source_page_url,source_asset_url,resolved_asset_url,credit,local_file_mtime_utc,verified_utc,width_px,height_px,format,bytes,sha256,provenance_note
01,images/01-sunnyvale-white-wave-tile.jpg,Sunnyvale Eichler — white wave tile,https://www.houzz.com/magazine/houzz-tour-an-eichler-remodel-spawns-a-design-career-stsetivw-vs~20757925,https://st.hzcdn.com/simgs/0ae1dca5027f0fcf_9-2638/photo.jpg,https://st.hzcdn.com/simgs/pictures/living-rooms/midcentury-living-room-urbanism-designs-img~0ae1dca5027f0fcf_9-2638-1-3fb81a9.jpg,Urbanism Designs / Houzz; individual photographer not identified,2026-09-10T19:28:22.238699+00:00,2026-09-10T19:34:24.802120+00:00,990,658,JPEG,172961,8d33a84ae5cf9ee613ee147f0782fea88b8bf3daef3d1ff587c7069128bddf62,Published web-size copy; original-size upload URL not verified. Original downloaded bytes preserved; no image processing. Ledger reconstructed from the recorded source URLs and saved files after a separate collection replaced sources.csv; local file modification time is recorded instead of claiming an exact download timestamp.
02,images/02-oakland-gray-hexagon-tile.jpg,8180 Phaeton Drive — hexagonal tile,https://www.dwell.com/article/sequoyah-hills-eichler-home-claude-oakland-real-estate-d284c6f4,https://images2.dwell.com/photos/6133553759298379776/6692435790016077824/original.jpg,https://images2.dwell.com/photos/6133553759298379776/6692435790016077824/original.jpg,Dwell / listing imagery; individual photographer not identified,2026-09-10T19:28:23.784909+00:00,2026-09-10T19:34:24.997378+00:00,3000,2000,JPEG,5104476,822da00914ee60bdf615b8c89a0ffd8ef24447c68a9d91fbf37c90cd3b7c0a11,Original asset URL explicitly exposed by Dwell page metadata. Original downloaded bytes preserved; no image processing. Ledger reconstructed from the recorded source URLs and saved files after a separate collection replaced sources.csv; local file modification time is recorded instead of claiming an exact download timestamp.
03,images/03-destination-eichler-tile-before.jpg,Destination Eichler — tile before restoration,https://www.destinationeichler.com/blog/restoring-a-brick-fireplace,https://images.squarespace-cdn.com/content/v1/64134464114198149a84e6a0/1679585452732-P3P3TC4FZYMEUTEXHU5R/image-asset.jpeg,https://images.squarespace-cdn.com/content/v1/64134464114198149a84e6a0/1679585452732-P3P3TC4FZYMEUTEXHU5R/image-asset.jpeg,Source: Destination Eichler; photo watermark © EBRD 2013,2026-09-10T19:28:24.639036+00:00,2026-09-10T19:34:25.368729+00:00,640,426,JPEG,27940,60f27fe0746e64efb13394f068fee1a3401adb6b9fa14caccdcac253cf02aac6,Source-hosted image at the dimensions supplied by the website. Original downloaded bytes preserved; no image processing. Ledger reconstructed from the recorded source URLs and saved files after a separate collection replaced sources.csv; local file modification time is recorded instead of claiming an exact download timestamp.
04,images/04-sunnyvale-before-refacing.jpg,Sunnyvale Eichler — painted masonry before refacing,https://www.houzz.com/magazine/houzz-tour-an-eichler-remodel-spawns-a-design-career-stsetivw-vs~20757925,https://st.hzcdn.com/simgs/7fd19f960282a6de_9-7900/photo.jpg,https://st.hzcdn.com/simgs/7fd19f960282a6de_9-7900/photo.jpg,Urbanism Designs / Houzz; individual photographer not identified,2026-09-10T19:29:14.982003+00:00,2026-09-10T19:34:25.546212+00:00,990,658,JPEG,183721,0cc33961a69874608127802303c8b574261799ea0ea614577315222c3eb2890c,Published web-size copy. Asset ID and revision from article metadata for photo 6771797. Standalone photo page returned 404; article remains available. Original downloaded bytes preserved; no image processing. Ledger reconstructed from the recorded source URLs and saved files after a separate collection replaced sources.csv; local file modification time is recorded instead of claiming an exact download timestamp.
05,images/05-destination-eichler-brick-after-tile-removal.jpg,Destination Eichler — tile removed,https://www.destinationeichler.com/blog/restoring-a-brick-fireplace,https://images.squarespace-cdn.com/content/v1/64134464114198149a84e6a0/1679585456628-J34X936IO1EU50N0Z5C2/image-asset.jpeg,https://images.squarespace-cdn.com/content/v1/64134464114198149a84e6a0/1679585456628-J34X936IO1EU50N0Z5C2/image-asset.jpeg,Destination Eichler / Karen Nepacena and John Shum; individual photographer not specified,2026-09-10T19:28:25.815651+00:00,2026-09-10T19:34:25.961437+00:00,1024,683,JPEG,208881,b7c8558a2d5ec988918492de9eb53912fa2b37a6cf54551e8cf7e5a31f245838,Source-hosted image at the dimensions supplied by the website. Original downloaded bytes preserved; no image processing. Ledger reconstructed from the recorded source URLs and saved files after a separate collection replaced sources.csv; local file modification time is recorded instead of claiming an exact download timestamp.
06,images/06-destination-eichler-brick-after-cleaning.webp,Destination Eichler — brick cleaned,https://www.destinationeichler.com/blog/restoring-a-brick-fireplace,https://images.squarespace-cdn.com/content/v1/64134464114198149a84e6a0/1679585465538-JIF112UI5YFPGYYQOJV3/image-asset.jpeg,https://images.squarespace-cdn.com/content/v1/64134464114198149a84e6a0/1679585465538-JIF112UI5YFPGYYQOJV3/image-asset.jpeg,Destination Eichler / Karen Nepacena and John Shum; individual photographer not specified,2026-09-10T19:28:26.063314+00:00,2026-09-10T19:34:26.374441+00:00,640,960,WEBP,110004,263919049c8cccab93bea16f2ffcb2e3a0db313abd52c9b147b7e8c9dc68a12b,Source CDN returned WebP; saved extension reflects downloaded format. Original downloaded bytes preserved; no image processing. Ledger reconstructed from the recorded source URLs and saved files after a separate collection replaced sources.csv; local file modification time is recorded instead of claiming an exact download timestamp.
07,images/07-destination-eichler-restored-fireplace.jpg,Destination Eichler — restoration reveal,https://www.destinationeichler.com/blog/dining-room-and-fireplace-reveal,https://images.squarespace-cdn.com/content/v1/64134464114198149a84e6a0/1679585449261-0DD3NVXAU7Y9QOZ3ZYE4/image-asset.jpeg,https://images.squarespace-cdn.com/content/v1/64134464114198149a84e6a0/1679585449261-0DD3NVXAU7Y9QOZ3ZYE4/image-asset.jpeg,Destination Eichler / Karen Nepacena and John Shum; individual photographer not specified,2026-09-10T19:28:26.917784+00:00,2026-09-10T19:34:26.778053+00:00,2500,3750,JPEG,1753381,d8077bcaf2ca71ec1c020f3664d9212c2867a83412a7f22b77f6c11eea888e37,Source-hosted image at the dimensions supplied by the website. Original downloaded bytes preserved; no image processing. Ledger reconstructed from the recorded source URLs and saved files after a separate collection replaced sources.csv; local file modification time is recorded instead of claiming an exact download timestamp.
08,images/08-san-jose-destination-eichler-aleutian-glazed-thin-brick.jpg,"Fireclay Tile gallery - Destination Eichler: Glazed Thin Brick Fireplace (San Jose, CA); photo Christopher Dibble",https://www.fireclaytile.com/gallery/detail/destination-eichler-aleutian-fireplace,https://www.fireclaytile.com/cdn/shop/articles/eyJidWNrZXQiOiJhc3NldHMuZmlyZWNsYXl0aWxlLmNvbSIsImtleSI6IkRlc3RpbmF0aW9uLUVpY2hsZXJfTk8tUFJJTlRfYWxldXRpYW5fYnJpY2tfZmlyZXBsYWNlX3Bob3RvX2NocmlzdG9waGVyX2RpYmJsZS5qcGciLCJlZGl0cyI6eyJ_7105f1ca-6f0c-4d0a-baf7-36ad2263ce81.webp?v=1773341791&width=2048,https://www.fireclaytile.com/cdn/shop/articles/eyJidWNrZXQiOiJhc3NldHMuZmlyZWNsYXl0aWxlLmNvbSIsImtleSI6IkRlc3RpbmF0aW9uLUVpY2hsZXJfTk8tUFJJTlRfYWxldXRpYW5fYnJpY2tfZmlyZXBsYWNlX3Bob3RvX2NocmlzdG9waGVyX2RpYmJsZS5qcGciLCJlZGl0cyI6eyJ_7105f1ca-6f0c-4d0a-baf7-36ad2263ce81.webp?v=1773341791&width=2048,Christopher Dibble / Fireclay Tile gallery,2026-09-10T19:35:59.986791+00:00,2026-09-10T19:39:35.380988+00:00,1200,800,JPEG,227756,ff617dab61a3f5e2062bf9ba16e6f6d8921c8e75b60f95b2bec00a8f2251693e,"Category: documented Eichler. Takeaway: glossy blue glazed thin brick, straight set, reaching the beams; the whole mass is re-clad so the original masonry disappears. Fireclay lists design Destination Eichler, location San Jose CA; Aleutian colour discontinued, Appalachian suggested as substitute. Downloaded with curl; bytes preserved except images 08, 09, 12 and 14 whose CDN files carried a .webp name but JPEG content and were saved as .jpg unchanged."
09,images/09-bay-area-destination-eichler-handpainted-starburst-surround.jpg,Fireclay Tile gallery - Destination Eichler: Handpainted Fireplace Tiles (SF Bay Area),https://www.fireclaytile.com/gallery/detail/destination-eichler-starburst-fireplace,https://www.fireclaytile.com/cdn/shop/articles/eyJidWNrZXQiOiJhc3NldHMuZmlyZWNsYXl0aWxlLmNvbSIsImtleSI6IjIwMThfUTFfaW1hZ2VfbG9fcmVzX3Jlc2lkZW50aWFsX2luc3RhZ3JhbV9EZXN0aW5hdGlvbl9FaWNobGVyX2ZpcmVwbGFjZV9zdXJyb3VuZF9oYW5kcGFpbnRlZF9.webp?v=1773341789&width=2048,https://www.fireclaytile.com/cdn/shop/articles/eyJidWNrZXQiOiJhc3NldHMuZmlyZWNsYXl0aWxlLmNvbSIsImtleSI6IjIwMThfUTFfaW1hZ2VfbG9fcmVzX3Jlc2lkZW50aWFsX2luc3RhZ3JhbV9EZXN0aW5hdGlvbl9FaWNobGVyX2ZpcmVwbGFjZV9zdXJyb3VuZF9oYW5kcGFpbnRlZF9.webp?v=1773341789&width=2048,Fireclay Tile gallery,2026-09-10T19:35:59.988816+00:00,2026-09-10T19:39:35.380988+00:00,1200,897,JPEG,164354,c3de37bda3c340d287b32927046ee44658ae250b7052020d4deac0d47e1cb151,"Category: documented Eichler. Takeaway: 8x8 handpainted Starburst tile on the surround only; the mantel shelf and white body stay. Fireclay lists design and photo Destination Eichler; low-resolution Instagram-era image. Downloaded with curl; bytes preserved except images 08, 09, 12 and 14 whose CDN files carried a .webp name but JPEG content and were saved as .jpg unchanged."
10,images/10-atomic-ranch-jrp-arto-tile-fireplace-wide.jpg,"Atomic Ranch - Inside an Epic Eichler Renovation (JRP Design & Remodel, Lori and Justin)",https://www.atomic-ranch.com/architecture-design/house-tours/inside-an-epic-eichler-renovation/,https://www.atomic-ranch.com/wp-content/uploads/2024/01/06A9843.jpg,https://www.atomic-ranch.com/wp-content/uploads/2024/01/06A9843.jpg,Atomic Ranch,2026-09-10T19:35:59.990558+00:00,2026-09-10T19:39:35.380988+00:00,840,560,JPEG,119175,fc7279b333ba96234bf854d9da57dfcbec445e1b4c1b0c16f9b856140a673673,"Category: documented Eichler. Takeaway: full-height fireplace refaced in Frank Lloyd Wright-inspired Arto concrete tile; large-format relief tile reads as one sculptural mass. Article caption: 'Lori chose to reface the fireplace in a Frank Lloyd Wright-inspired Arto Tile'. Downloaded with curl; bytes preserved except images 08, 09, 12 and 14 whose CDN files carried a .webp name but JPEG content and were saved as .jpg unchanged."
